"key","response"
"_welcome","<p>Hey detective,<break time="".35s"" /> thanks for coming by.</p><break time="".5s"" /> <p>Betsy Harris, owner of Betsy’s BBQ Shack, was found dead last night at 11pm.<break time=""1s"" /> We have detained 4 suspects and they are awaiting questioning.<break time="".6s"" /> None of them are career criminals, so try to find the nervous one, and catch them in a lie.<break time="".3s"" /> When you’re ready you can then say</p><p> “I’d like to press charges” and then be prepared with your proof.</p>
    \t<break time="".6s"" /><p>I’m Police chief Hawkins. I'll be here to assist along the way.<break time="".6s"" /> You can begin by questioning the suspects. Or if this is your first time, ask me how to play the game.</p>"
"_listsuspects","The suspects are Brandi, Tucker, Pete and Constance. "
"_suggestions_catchkiller","There are a small set of things that can actually link the killer to the murder. They’ll either lie about their alibi, evidence found at the scene, or know information about the scene that hasn’t been released. Once you’ve found the lie, say ""I'd like to press charges"", then be prepared with your proof."
"_suggestions_interview","Are you new to this? Remember this is a police case. We need to establish their alibi, their relationship to the victim and potentially to one another. Try starting with ""where were you on the night of the murder,"" or, ""what was your relationship to the victim?"""
"_suggestions_toogeneric","Try asking more specific questions. Instead of saying something like Why did she do that? Say Why did Betsy fire Brandy?"
"_howto","<p>Here's how to play the game.</p><p> Interview each of the suspects, and listen closely to what they say. One of them is lying. </p><p>Also, pay attention to how they speak. Their voice may change when they get nervous.</p><p> When you you have uncovered the killer’s lie, say “I’d like to press charges”, then be prepared with your proof.</p>
\t\t<p>And remember, you can always ask suspects to repeat themselves. </p>
\t\t<p>Once again, my name is Hawkins. I'll be around to help.</p><p> I can list the suspects, go over the crime scene, or even give suggestions if you get stuck.</p>
\t\t<p>Make sure to take a look at the crime scene info. </p>"
"_help","I got your back, detective. I have the case file if you would like to review. Try asking one suspect about another suspect."
"_help1","Try questioning a suspect.The suspects are Brandi, Tucker, Pete and Constance. "
"_help2","If you want to interrogate a suspect, you can say something like, ""Let me talk to Tucker."""
"_help3","Try asking each suspect the same questions and comparing their answers."
"_presscharges_whokiller","Who do you think killed Betsy?"
"_presscharges_whatevidence","What proof do you have? Is their alibi?  Or if it's a piece of evidence, name the specific thing."
"_presscharges_evidenceError","Try simplifying your answer. If the suspect lied about their alibi say ""his alibi,"" or if it was a piece of evidence name the specific thing."
"_goodbye","See you around, detective."
"_youwin","<emphasis level=""strong"">Congratulations! You’ve found the killer!<break time="".8s"" /></emphasis> Would you like to play again?"
"_youlose","You chose <break time="".5s"" /> poorly. Would you like to try again?"
"_casefile","Last night, officers here in Lockhart Texas received a call about a fire at Betsy’s BBQ Shack. After the blaze was extinguished, they made a terrible discovery: owner, Betsy Harris, was found burned to death in the broom closet padlocked from the outside. Traces of turpentine were found around the ashes which we believe was used to accelerate the fire. We estimate the fire started at 8:45pm and time of death to be about 9:00pm. None of these details have been shared with the suspects."
"_suggestioninterview","If you want to interrogate a suspect, you can say something like, ""Let me talk to Tucker."" The suspects are Brandi, Tucker, Pete and Constance. "
"_connective_general","What would you like to do next?"
"_connective_selectsuspect","Who would you like to speak to?"
"_connective_aboutsuspect","Who do you want to know about?"
"_suspects_list","The suspects are Brandi, Tucker, Pete and Constance. "
"_suspects_Brandi Lynn Michelle_hawkins_intro","Meet Brandi Lynn, a 21 year old Lockhart native.  Brandi Lynn is a regular in the local nightlife, and worked at Betsy's BBQ."
"_suspects_Brandi Lynn Michelle_intro","What’s up detective?"
"_suspects_Brandi Lynn Michelle_fallback","I don’t understand"
"_suspects_Brandi Lynn Michelle_confession","<emphasis level=""strong"">I didn’t mean for this all to go so wrong. I went to the restaurant to try to steal her secret recipe and she was standing right there.  We began to fight for that little piece of paper and started knocking things off of the wall. I pushed her and she tripped and fell into the closet. I closed and locked the door and started running. I didn’t notice that the stove got turned on and caught some rags on fire. I was just outside and the blast knocked me to the ground. I got up and kept running. It’s just so horrible. I never meant for any of this to happen.</emphasis>"
"_suspects_Brandi Lynn Michelle_general_hints_BRANDI_WHOBOYFRIEND","Who is your boyfriend?"
"_suspects_Brandi Lynn Michelle_general_FIRSTNAME","Brandi Lynn"
"_suspects_Brandi Lynn Michelle_general_FULLNAME","Brandi Lynn Michelle"
"_suspects_Brandi Lynn Michelle_general_WHATRELATIONSHIPTOBETSY","I don’t know... She was two different people. Sometimes she seemed like the best boss I’ve had, sometimes she was a little scary."
"_suspects_Brandi Lynn Michelle_general_ANGRYWITHBETSY","I was angry but I feel terrible that she died. "
"_suspects_Brandi Lynn Michelle_general_HOWLONGKNOWBETSY","About 3 months. I met her when I started working at her restaurant. "
"_suspects_Brandi Lynn Michelle_general_WHOKILLEDBETSY","I definitely didn’t do it. My grandmother hated her more than anyone."
"_suspects_Brandi Lynn Michelle_general_NIGHTOF","I was at my boyfriend’s apartment."
"_suspects_Brandi Lynn Michelle_general_DIDYOUKILLHER","I didn’t kill Betsy. She was horrible to me last week, but I’m not a killer."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHOGRANDMOTHER","Constance Florentine is my grandmother. Sometimes I don’t know whether she’s my role model or my worst case scenario."
"_suspects_Brandi Lynn Michelle_general_TELLABOUTCONSTANCE","Constance Florentine is my grandmother. Sometimes I don’t know whether she’s my role model or my worst case scenario."
"_suspects_Brandi Lynn Michelle_general_TELLABOUTPETE","Pete is my dad. He was Betsy’s main competitor."
"_suspects_Brandi Lynn Michelle_general_TELLABOUTBRANDI","Ummm.<break delay=""1.2s"" /> Detective. I’m Brandi Lynn."
"_suspects_Brandi Lynn Michelle_general_TELLABOUTTUCKER","Tucker Mitts is my boyfriend. I met him when I started working at Betsy’s BBQ. We’re in love."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHODAD","Pete is my dad. He was Betsy’s main competitor."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHATBETSYDOLASTWEEK","She fired me in the most humiliating way possible. She screamed at me for 10 solid minutes in front of a packed restaurant. I’ve never been so embarrassed in my life."
"_suspects_Brandi Lynn Michelle_general_WHATBETSYDOBRANDI","She fired me in the most humiliating way possible. She screamed at me for 10 solid minutes in front of a packed restaurant. I’ve never been so embarrassed in my life."
"_suspects_Brandi Lynn Michelle_general_BETSYDOSOMETHINGTOYOU","She fired me in the most humiliating way possible. She screamed at me for 10 solid minutes in front of a packed restaurant. I’ve never been so embarrassed in my life."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHOBOYFRIEND","Tucker Mitts is my boyfriend. I met him when I started working at Betsy’s BBQ. We’re in love."
"_suspects_Brandi Lynn Michelle_general_BRANDI_INSURANCE","He became part owner and a beneficiary on the insurance policy when he started working there. He always said he felt funny about the insurance part."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHYGMFAULT","I shouldn’t tell you this, but I will. In her never ending supply of spite, my grandmother devised a plan where I would be the pawn to steal Betsy’s secret recipe after working at her restaurant and gaining her trust. The whole thing worked because Betsy didn’t know I was a Judsen. It was a rotten thing to do. I was a part of it though. I’m so ashamed."
"_suspects_Brandi Lynn Michelle_general_WHYCONSTBETSYHATEEACHOTHER","My grandmother wouldn’t shut up about their feud. She hated her for so long and with such lust, I wonder if she’s somehow going to miss it. I know I won’t."
"_suspects_Brandi Lynn Michelle_general_WHATRECIPE","I shouldn't tell you this, but I will. In her never ending supply of spite, my grandmother devised a plan where I would be the pawn to steal Betsy's secret recipe after working at her restaurant and gaining her trust. The whole thing worked because Betsy didn't know I was a Judsen.  It was a rotten thing to do.  I was a part of it though.  I'm so ashamed."
"_suspects_Brandi Lynn Michelle_general_WHENLASTSEEBETSY","A week ago.  The last time I worked for her."
"_suspects_Brandi Lynn Michelle_general_BRANDI_HOWLONGDATINGTUCKER","We started dating when I began work at Betsy’s, so three wonderful months."
"_suspects_Brandi Lynn Michelle_general_BRANDI_DIDYOUSTEAL","Oh god... It wasn’t my idea! That recipe has been the subject of my nightmares lately."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHYFAMILYHATETUCKER","Well my dad hates Tucker because he quit working for him to go work for Betsy."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHYTUCKERWORKFORBETSY","It was time for him to leave.  She also made him a great offer. you should talk to him about it."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHATDADBUSINESS","Pete's BBQ. It was a staple in Lockhart for a decade. He's so sad it has to shut down."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHYFIRE","Ohh I'm not sure.  She just flipped one day and went crazy."
"_suspects_Brandi Lynn Michelle_general_BRANDI_HOWBETSYSCARY","She could get so angry sometimes.  I don't know where it came from."
"_suspects_Brandi Lynn Michelle_general_BRANDI_THINKGMKILLEDBETSY","I don't know if she did.  I don't know what happened."
"_suspects_Brandi Lynn Michelle_general_BRANDI_HOWMEETBF","We met at Betsy's BBQ when i started working there 3 months ago"
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHATBETSYFIGHTABOUT","I'm not totally sure"
"_suspects_Brandi Lynn Michelle_general_BRANDI_CATCH_IN_LIE","I don't know what you're talking about"
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHENTALKTODAD","I didn't talk to him last night."
"_suspects_Brandi Lynn Michelle_general_BRANDI_DADALONELASTNIGHT","I don't know I didn't speak with him."
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHYTUCKERSHOWER","I don't remember him taking a shower.  Why do you ask?"
"_suspects_Brandi Lynn Michelle_general_BRANDI_WHYTUCKERGOOUT","He didn't go out.  Why do you ask?"
"_suspects_Brandi Lynn Michelle_variations_0_NIGHTOF","I was at my boyfriend's apartment.  We stayed home the whole night.  "
"_suspects_Brandi Lynn Michelle_variations_0_DIDYOUKILLHER","I'm not a murderer!  I was at my boyfriend's apartment all night. How could I have done it?"
"_suspects_Brandi Lynn Michelle_variations_0_BRANDI_WHOBOYFRIEND","Tucker Mitts is my boyfriend.  I met him when I started working at Betsy's BBQ.  We're in love. We spent every minute together last night."
"_suspects_Brandi Lynn Michelle_variations_0_TELLABOUTTUCKER","Tucker Mitts is my boyfriend.  I met him when I started working at Betsy's BBQ.  We're in love. We spent every minute together last night."
"_suspects_Brandi Lynn Michelle_variations_0_WHENLASTSEEBETSY","Ummmm.  <break time="".5s"" /> A week ago?  The last time I worked for her."
"_suspects_Brandi Lynn Michelle_variations_0_BRANDI_CATCH_IN_LIE","<prosody pitch=""+6%"">What??<break time="".5s"" /> I've told you everything already!I don't think i can answer anymore questions.  <break time="".5s"" />Oh god. this is too upsetting</prosody>"
"_suspects_Brandi Lynn Michelle_variations_2_BRANDI_WHODAD","Pete Judsen is my dad. He was Betsy's main competitor.  My full name is Brandi Lynn Michelle Judsen.  I feel so bad about him having to shut down his business.  We were chatting about it last night"
"_suspects_Brandi Lynn Michelle_variations_2_TELLABOUTPETE","Pete Judsen is my dad. He was Betsy's main competitor.  My full name is Brandi Lynn Michelle Judsen.  I feel so bad about him having to shut down his business.  We were chatting about it last night"
"_suspects_Brandi Lynn Michelle_variations_2_BRANDI_WHENTALKTODAD","around 8pm.  He was all alone in that restaurant.  He was the king of BBQ in this town, not even a year ago."
"_suspects_Brandi Lynn Michelle_variations_2_BRANDI_DADALONELASTNIGHT","No.  He was just alone, cleaning everything up.  So sad."
"_suspects_Brandi Lynn Michelle_variations_3_NIGHTOF","I was at my boyfriend's apartment, watching TV. I dozed off around 8pm, but then I woke up around midnight because he was in the shower for some reason."
"_suspects_Brandi Lynn Michelle_variations_3_BRANDI_WHYTUCKERSHOWER","He said he wanted to get cleaned up before bed. I guess there's a first time for everything."
"_suspects_Brandi Lynn Michelle_variations_3_BRANDI_WHYTUCKERGOOUT","He went out after I fell asleep around 8.  I'm not sure why though"
"_suspects_Tucker Mitts_hawkins_intro","Meet Tucker Mitts, Betsy’s business partner and head chef. "
"_suspects_Tucker Mitts_intro","What do you want??"
"_suspects_Tucker Mitts_fallback","I don’t get what you’re saying, pal."
"_suspects_Tucker Mitts_confession","<emphasis level=""reduced"" >Ok<break time="".8s"" /> You got me. <break time="".3s"" />  I didn't care about Betsy, her restaurant or the Judsens.<break time="".8s"" />  Brandi was alot of fun, but it was just a temporary thing.  I'm ready to get out of this sleepy town, so let me go in and do my time. The most I could get is Murder 2 and a few years.  You don't have a strong enough case for Murder 1.<break time="".8s"" /> You can get your detective bonus and I'll keep on with my long term plans.  Well done, detective.<break time="".8s"" />  Can I go now?</emphasis>"
"_suspects_Tucker Mitts_general_FIRSTNAME","Tucker"
"_suspects_Tucker Mitts_general_FULLNAME","Tucker Dale Mitts"
"_suspects_Tucker Mitts_general_WHATRELATIONSHIPTOBETSY","She was a great boss. She wasn't afraid to go for what she wanted.  She always treated me with respect."
"_suspects_Tucker Mitts_general_DIDYOUKILLHER","You got the wrong guy bud.  I put blood sweat and tears into that place"
"_suspects_Tucker Mitts_general_HOWLONGKNOWBETSY","5 years or so. I first met her when I was at my last job."
"_suspects_Tucker Mitts_general_WHOKILLEDBETSY","I don't know.  It could have been anybody.  It could have been a random thief."
"_suspects_Tucker Mitts_general_NIGHTOF","I was at home with my girlfriend, watching TV."
"_suspects_Tucker Mitts_general_ANGRYWITHBETSY","No! She saw my potential and gave me a chance.  She was such a great boss that I was actually doing extra work off the clock last night."
"_suspects_Tucker Mitts_general_TUCKER_WHOGIRLFRIEND","Brandi is my girlfriend. She's a little young but I love her."
"_suspects_Tucker Mitts_general_TELLABOUTBRANDI","Brandi is my girlfriend. She's a little young but I love her."
"_suspects_Tucker Mitts_general_TUCKER_WHOPETEMOM","Constance. I don't know her real well, but I don't think I like her very much. She acts like she owns everything and everyone in every room she walks into."
"_suspects_Tucker Mitts_general_TELLABOUTCONSTANCE","Constance is Brandi's grandmother. I don't know her real well, but I don't think I like her very much. She acts like she owns everything and everyone in every room she walks into."
"_suspects_Tucker Mitts_general_TUCKER_WHOGFDAD","Pete Judsen is Brandi's dad. He was my Boss before Betsy hired me. He never saw me as anything more than a line cook."
"_suspects_Tucker Mitts_general_TELLABOUTPETE","Pete Judsen is Brandi's dad. He was my Boss before Betsy hired me. He never saw me as anything more than a line cook."
"_suspects_Tucker Mitts_general_WHATBETSYDOBRANDI","Well Brandi started working at Betsy's BBQ a couple months ago.  That's how we met.  Everything was great, but then all of a sudden one day, the two of them got in a bad argument and Betsy kind of lost it on Brandy and then fired her."
"_suspects_Tucker Mitts_general_TELLABOUTTUCKER","You're talking to him, bud."
"_suspects_Tucker Mitts_general_TUCKER_WHOBRANDIGM","Constance is Brandi's grandmother. I don't know her real well, but I don't think I like her very much. She acts like she owns everything and everyone in every room she walks into."
"_suspects_Tucker Mitts_general_TUCKER_INSURANCE","it's a policy that covers the destruction of the business and It's alot of money, but I guarantee you I would give it back to keep this thing going.  I put my blood sweat and tears into that place."
"_suspects_Tucker Mitts_general_TUCKER_INSURANCEAMOUNT","it's a policy that covers the destruction of the business and It's alot of money, but I guarantee you I would give it back to keep this thing going.  I put my blood sweat and tears into that place."
"_suspects_Tucker Mitts_general_WHATRECIPE","I don't completely know. I can taste cumin and molasses, but  I'm not sure about the rest. Betsy  was crazy about that recipe.  She would make the sauce herself and insisted that only she know it. And the whole town got more and more interested because it was a mystery and alot of people thought it was the reason we became successful.  Brandi Lynn used to talk about it all the time, wondering where Betsy bought it.  I'm sure Pete would have stolen it if he had the chance."
"_suspects_Tucker Mitts_general_WHYCONSTBETSYHATEEACHOTHER","I don't really know how the minds of the 1 percent work, pal.  You're going to have to ask Constance about that one."
"_suspects_Tucker Mitts_general_TUCKER_WHATWATCHING","Nothing too interesting. It was mostly just on in the background while I got some work done. "
"_suspects_Tucker Mitts_general_TUCKER_WHYFAMNOTLIKEYOU","I think it's because I quit her dad's restaurant to work at Betsy's."
"_suspects_Tucker Mitts_general_TUCKER_WHYCHANGERESTAURANTS","Business is business.  She offered to make me part owner and I had to move on."
"_suspects_Tucker Mitts_general_TUCKER_WHYBRANDIFIRED","I don't know the whole story.  Ask Brandi"
"_suspects_Tucker Mitts_general_TUCKER_WHEREGFGO","She didn't go anywhere"
"_suspects_Tucker Mitts_general_TUCKER_WHATTIMEBRANDYHOME","She was home the whole day and night. She was still sad about being fired."
"_suspects_Tucker Mitts_general_TUCKER_BRANDIGIRLFRIEND","Yeah I'm spending my time with Brandi."
"_suspects_Tucker Mitts_general_BETSYDOSOMETHINGTOYOU","No, she was great to me."
"_suspects_Tucker Mitts_general_TUCKER_WHEREBRANDYGO","Brandi didn't go anywhere"
"_suspects_Tucker Mitts_general_TUCKER_WHYBRANDYGO","Brandi didn't go anywhere"
"_suspects_Tucker Mitts_general_TUCKER_WHATLASTJOB","I worked for Pete at his restaurant."
"_suspects_Tucker Mitts_general_TUCKER_HOWLONGDATING","A few months."
"_suspects_Tucker Mitts_general_TUCKER_WHYPETENOTRESPECTYOU","Your guess is as good as mine, friend.  I was running the whole kitchen before I left"
"_suspects_Tucker Mitts_general_TUCKER_MADATPETE","I'm not mad at him. I just don't like him.  He never gave me a chance.  Just saw me as a line cook."
"_suspects_Tucker Mitts_general_TUCKER_WHATWORKINGON","Some extra stuff for the restaurant actually.  work down the drain i guess"
"_suspects_Tucker Mitts_general_TUCKER_HOWMEETBRANDI","We met a few months ago when she started working at Betsy's."
"_suspects_Tucker Mitts_general_TUCKER_BRANDYLEAVE","She was home all night."
"_suspects_Tucker Mitts_general_WHENLASTSEEBETSY","Yesterday, around 7:30pm.  I had the early shift."
"_suspects_Tucker Mitts_general_TUCKER_WHATTIMESEECONSTANCE","I didn't see Constance.  Haven't seen her in a few months.."
"_suspects_Tucker Mitts_general_TUCKER_WHYCONSTANCEAROUND","She wasn't around.  I don't know where you got that from."
"_suspects_Tucker Mitts_general_TUCKER_SHOWERLASTNIGHT","Yeah, I took a shower last night.  Long day in a hot kitchen. I needed it."
"_suspects_Tucker Mitts_general_BRANDI_CATCH_IN_LIE","What in the world are you talking about pal.  I didn't say anything like that."
"_suspects_Tucker Mitts_variations_0_NIGHTOF","I was at home with my girlfriend, watching TV. She went out for a bit around 8, and I stayed home and worked.  She got back around midnight."
"_suspects_Tucker Mitts_variations_0_ANGRYWITHBETSY","No! She saw my potential and gave me a chance.  She was such a great boss that I was actually doing extra work off the clock last night while my girlfriend was out."
"_suspects_Tucker Mitts_variations_0_TUCKER_WHEREGFGO","She told me she went to the dry cleaners to drop off a few dresses.  I guess there are late night dry cleaners"
"_suspects_Tucker Mitts_variations_0_TUCKER_WHATTIMEBRANDYHOME","Around midnight. She somehow seemed worse when she got home."
"_suspects_Tucker Mitts_variations_0_TUCKER_WHEREBRANDYGO","She told me she went to the dry cleaners to drop off a few dresses.  I guess there are late night dry cleaners"
"_suspects_Tucker Mitts_variations_0_TUCKER_WHYBRANDYGO","She seemed sad.  I'm not sure why she left though."
"_suspects_Tucker Mitts_variations_0_TUCKER_BRANDYLEAVE","She left around 8pm."
"_suspects_Tucker Mitts_variations_2_TELLABOUTCONSTANCE","Constance. I don't know her real well, but I don't think I like her very much. Actually, I saw her yesterday over on Betsy's BBQ side of town.  I would expect she doesn't make it over to this side of the tracks very often"
"_suspects_Tucker Mitts_variations_2_TUCKER_WHATTIMESEECONSTANCE","I must have been 8 pm."
"_suspects_Tucker Mitts_variations_2_TUCKER_WHYCONSTANCEAROUND","I couldn't tell ya.  I was headed home and didn't think to ask."
"_suspects_Tucker Mitts_variations_3_ANGRYWITHBETSY","No! She saw my potential and gave me a chance.  I can't believe that someone would lock her in the closet and roast her like that. It's hard to imagine."
"_suspects_Tucker Mitts_variations_3_WHOKILLEDBETSY","Well it couldn't have been Brandi Lynn; she was with me. Maybe it was Constance. Or maybe Pete. One of them locked Betsy in that closet."
"_suspects_Tucker Mitts_variations_3_WHYCONSTBETSYHATEEACHOTHER","I don't really know how the minds of the 1 percent work, pal.  But I certainly wouldn't put it past Constance to lock Betsy in a closet and roast her like a piece of meat."
"_suspects_Tucker Mitts_variations_3_TUCKER_CATCH_IN_LIE","<emphasis level=""strong""><prosody  pitch=""-8%"">Listen champ.<break time="".5s"" /> <emphasis level=""strong"">You're starting to get on my nerves</emphasis>If you don't like the answers i'm giving you.<break time="".5s"" />Then bring someone else in here who gives you the ones you like!</prosody></emphasis>"
"_suspects_Pete Judsen_hawkins_intro","Meet Pete, owner of another BBQ shop in town. He was Betsy’s main competitor."
"_suspects_Pete Judsen_intro","How can I help?"
"_suspects_Pete Judsen_fallback","I don't understand?"
"_suspects_Pete Judsen_confession","<emphasis level=""strong""><emphasis level=""strong"">Fine!</emphasis> I killed Betsy.  I worked my hands to the bone on my restaurant and she just parachutes in with a checkbook and a vendetta?  That wasn't happening. <break time="".7s"" /> I pushed her into that closet, turned on the burner and spilled the paint thinner everywhere.  Finally I don't have to suffer for my mother's feuds anymore. It's haunted me my whole life!</emphasis>"
"_suspects_Pete Judsen_general_FIRSTNAME","Pete"
"_suspects_Pete Judsen_general_FULLNAME","Peter Randall Bradford Judsen"
"_suspects_Pete Judsen_general_WHATRELATIONSHIPTOBETSY","We were business competitors, and all is fair in love and war and business when no one's looking."
"_suspects_Pete Judsen_general_ANGRYWITHBETSY","Yeah I had a few reasons to be angry at Betsy, but none strong enough to want to kill her."
"_suspects_Pete Judsen_general_HOWLONGKNOWBETSY","My whole life unfortunately. Actually longer she hated me before I was born."
"_suspects_Pete Judsen_general_WHOKILLEDBETSY","I know it wasn't me."
"_suspects_Pete Judsen_general_NIGHTOF","I was alone at my restaurant, cleaning it out.  I can't believe we're closing down this week."
"_suspects_Pete Judsen_general_DIDYOUKILLHER","Nope. I cook pigs, not people. Besides, I was at my restaurant all night, on the other side of town."
"_suspects_Pete Judsen_general_PETE_WHODAUGHTER","Brandi Lynn is my baby daughter.  She's just turned 22, so i guess i need to get used to the idea of her being an adult."
"_suspects_Pete Judsen_general_TELLABOUTBRANDI","Brandi Lynn is my baby daughter.  She's just turned 22, so i guess i need to get used to the idea of her being an adult."
"_suspects_Pete Judsen_general_PETE_WHOMOTHER","Constance is my mother.  She's been a pillar in the Lockhart community for nearly 40 years and before that was raised here."
"_suspects_Pete Judsen_general_TELLABOUTCONSTANCE","Constance is my mother.  She's been a pillar in the Lockhart community for nearly 40 years and before that was raised here."
"_suspects_Pete Judsen_general_PETE_WHODAUGHTERBF","Tucker Mitts was Betsy's head chef and is my daughter's boyfriend.  He says he loves her, but the guy worked for me for 5 years and I've seen how he is.  But Brandi won't listen to me"
"_suspects_Pete Judsen_general_WHATBETSYDOBRANDI","Brandi Lynn worked at Betsy's BBQ Shack up until last week when Betsy cornered poor Brandi and screamed at her in front of a crowd then fired her.  It was sadistic if you ask me."
"_suspects_Pete Judsen_general_TELLABOUTPETE","guy.<break delay=""1s"" /> Are you paying attention?"
"_suspects_Pete Judsen_general_TELLABOUTTUCKER","Tucker Mitts was Betsy's head chef and is my daughter's boyfriend.  He says he loves her, but the guy worked for me for 5 years and I've seen how he is.  But Brandi won't listen to me."
"_suspects_Pete Judsen_general_PETE_WHYYOURFAULT","Well, Betsy had this famous recipe that she didn't even create.  She bought it.  But it seemed like that was the difference in her taking business away from my place and ultimately shutting me down.  So, A few months back my mom convinces me to enlist Brandi Lynn to go work for Betsy, since Betsy never knew Brandi Lynn.  Well the idea was that Brandi Lynn would gain Betsy's trust and then convince Betsy to show her the recipe, then report back to us.  The whole thing made me real uneasy, but I went through with it anyway.  It blew up in Brandi Lynn's face when Betsy found out and now Betsy is dead."
"_suspects_Pete Judsen_general_PETE_WHYTUCKERHAPPY","Tucker is the type of guy you just can't trust.  I thought him and I were going to run my restaurant together for the next 20 years and I didn't get as much as a thanks when he jetted over to Betsy's new restaurant.  Then I heard that Betsy made him a partner and even put him on the insurance.  You know what that means right?  He just got paid for the restaurant burning down and Betsy dying, and not a small amount either, so yeah.  I'd bet that snake is feeling pretty good."
"_suspects_Pete Judsen_general_WHYCONSTBETSYHATEEACHOTHER","You're really going to have to ask my mom about that.  The story has been told in so many ways, I just don't know what's true."
"_suspects_Pete Judsen_general_WHATRECIPE","That's the million dollar question.  If I could find some way to get my hands on it, I would.  I guess you'll just have to ask Tucker, though.  After all, he's the head chef."
"_suspects_Pete Judsen_general_PETE_WHYGOOUTOFBUSINESS","Well I'm embarrassed to say.  Betsy put me out of business.  I was going strong for a few years there.  She came onto the scene to compete and I was still in the lead.  Then she bought that damn recipe and everything turned around from there."
"_suspects_Pete Judsen_general_PETE_HOWBETSYPUTYOUOUTBIZ","Well, the only reason she got into business was to compete with me and by proxy stick it to my mom. Business was fine until she bought that recipe. Then she started crushing me."
"_suspects_Pete Judsen_general_PETE_WHYDAUGHTERFIRED","Betsy was a rotten old lady and didn't really need a reason. Before last night, we hadn't spoken since she got fired, though. So you should ask Brandi Lynn."
"_suspects_Pete Judsen_general_PETE_WHYDAUGHTERWORKFORCOMP","Ok i'll admit to it.  Brandi Lynn was going to steal the recipe that put Betsy on top in Lockhart. It was my idea. That damn recipe."
"_suspects_Pete Judsen_general_BETSYDOSOMETHINGTOYOU","Well I'm embarrassed to say.  Betsy put me out of business.  I was going strong for a few years there.  She came onto the scene to compete and I was still in the lead.  Then she bought that damn recipe and everything turned around from there."
"_suspects_Pete Judsen_general_PETE_WHYANGRYWITHBETSY","She's been an enemy of my family since before I was born.  I guess now that I think about it, the biggest reason I hated her, was because she hated me. She's always been mean to me"
"_suspects_Pete Judsen_general_PETE_WHYENEMYOFFAM","You'll really have to ask my mom about that"
"_suspects_Pete Judsen_general_PETE_BETSYHATEBEFOREBORN","Betsy and my mother had been feuding for decades.  I don't even know why"
"_suspects_Pete Judsen_general_PETE_WHEREDAUGHTERGOING","I didn't say my daughter was going anywhere.  What are you talking about?"
"_suspects_Pete Judsen_general_PETE_WHYNOTTRUSTTUCKER","He's got a few too many notches on the belt.  I used to go out with him when i was bored.  That guy doesn't care about anybody but himself"
"_suspects_Pete Judsen_general_PETE_HOWFARRESTAURANTFROMBETSY","It's not close, bud. I'd say about a 20 minute drive."
"_suspects_Pete Judsen_general_PETE_WHATSPEAKABOUTDAUGHTER","I didn't say I spoke with my daughter."
"_suspects_Pete Judsen_general_PETE_BRANDICALLLASTNIGHT","She didn't call me last night."
"_suspects_Pete Judsen_general_WHENLASTSEEBETSY","I think i saw her a week ago around town.  I'm not sure where."
